,AGREEMENT_RK,ID_CLIENT,TARGET,ID,AGE,GENDER,EDUCATION,MARITAL_STATUS,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,REG_ADDRESS_PROVINCE,FACT_ADDRESS_PROVINCE,POSTAL_ADDRESS_PROVINCE,FL_PRESENCE_FL,OWN_AUTO,FAMILY_INCOME,PERSONAL_INCOME,LOAN_NUM_TOTAL,LOAN_NUM_CLOSED
0,59910150,106804370,0,106804370,49,1,Среднее специальное,Состою в браке,2,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,0,от 10000 до 20000 руб.,5000.0,1,1
1,59910150,106804370,0,106804370,49,1,Среднее специальное,Состою в браке,2,1,1,0,Оренбургская область,Оренбургская область,Оренбургская область,0,0,от 10000 до 20000 руб.,5000.0,1,1
2,59910230,106804371,0,106804371,32,1,Среднее,Состою в браке,3,3,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,от 10000 до 20000 руб.,12000.0,1,1
3,59910525,106804372,0,106804372,52,1,Неполное среднее,Состою в браке,4,0,1,0,Иркутская область,Иркутская область,Иркутская область,0,0,от 10000 до 20000 руб.,9000.0,2,1
4,59910803,106804373,0,106804373,39,1,Высшее,Состою в браке,1,1,1,0,Ростовская область,Ростовская область,Ростовская область,1,0,от 20000 до 50000 руб.,25000.0,1,1
5,59911781,106804374,0,106804374,30,0,Среднее,Состою в браке,0,0,1,0,Кабардино-Балкария,Кабардино-Балкария,Кабардино-Балкария,0,0,от 10000 до 20000 руб.,12000.0,2,1
6,59911784,106804375,0,106804375,29,0,Среднее,Гражданский брак,0,0,1,0,Белгородская область,Белгородская область,Белгородская область,0,1,от 20000 до 50000 руб.,12000.0,2,1
7,59911832,106804376,0,106804376,35,0,Высшее,Разведен(а),1,1,1,0,Вологодская область,Вологодская область,Вологодская область,1,0,от 20000 до 50000 руб.,15000.0,2,2
8,59912034,106804377,0,106804377,41,1,Среднее,Состою в браке,0,0,1,0,Волгоградская область,Волгоградская область,Волгоградская область,1,0,от 10000 до 20000 руб.,6000.0,2,1
9,59912560,106804378,0,106804378,53,0,Высшее,Состою в браке,2,0,1,0,Ярославская область,Ярославская область,Ярославская область,0,0,свыше 50000 руб.,100000.0,1,1
